plasmid_id	orf_id	start	end	strand	COG_category	COG_description	Domains	AMR_class	AMR_mechanism	AMR_gene	AMR_identity
SRR23967294_RNODE_409_length_5387_cov_40.75293	SRR23967294_RNODE_409_length_5387_cov_40.75293_5	4963	5325	1	T	Sh3 type 3 domain protein	PS51257|Prokaryotic membrane lipoprotein lipid attachment site profile.				
SRR23967294_RNODE_409_length_5387_cov_40.75293	SRR23967294_RNODE_409_length_5387_cov_40.75293_6	5888	7255	-1	L	Phage integrase family	G3DSA:1.10.150.130|-;G3DSA:1.10.443.10|Intergrase catalytic core;PF00589|Phage integrase family;PS51898|Tyrosine recombinase domain profile.;SSF56349|DNA breaking-rejoining enzymes;cd01184|INT_C_like_1				
SRR23967294_RNODE_409_length_5387_cov_40.75293	SRR23967294_RNODE_409_length_5387_cov_40.75293_7	7968	8243	-1			PS51257|Prokaryotic membrane lipoprotein lipid attachment site profile.				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_34	25187	25438	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_35	26186	27052	1	-	-	G3DSA:3.30.470.20|-;PTHR21621|RIBOSOMAL PROTEIN S6 MODIFICATION PROTEIN;SSF56059|Glutathione synthetase ATP-binding domain-like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_36	27052	27984	1	S	RNA ligase	G3DSA:3.30.470.30|DNA ligase/mRNA capping enzyme;PF09414|RNA ligase;SSF56091|DNA ligase/mRNA capping enzyme, catalytic domain				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_37	27981	28835	1	S	Zeta toxin	G3DSA:3.40.50.1000|-;G3DSA:3.40.50.300|-;PF13671|AAA domain;SSF52540|P-loop containing nucleoside triphosphate hydrolases;SSF56784|HAD-like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_38	28924	29163	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_39	29211	29612	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_40	29616	29792	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_41	29785	30114	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_42	30116	30406	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_43	30406	31851	1	L	Psort location Cytoplasmic, score 8.96	G3DSA:3.40.1360.10|-;G3DSA:3.40.50.300|-;PF03796|DnaB-like helicase C terminal domain;PF13155|Toprim-like;PS50880|Toprim domain profile.;PS51199|Superfamily 4 helicase domain profile.;PTHR12873|T7-LIKE MITOCHONDRIAL DNA HELICASE;SM00493|toprim5;SSF52540|P-loop containing nucleoside triphosphate hydrolases;SSF56731|DNA primase core;cd01029|TOPRIM_primases				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_44	31832	32122	1	L	RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication	G3DSA:3.90.580.10|-;PF01807|CHC2 zinc finger;SM00400|primzinc3;SSF57783|Zinc beta-ribbon				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_45	32092	32262	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_46	32271	32681	1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_47	32683	32892	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_48	32892	33194	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_49	33175	33651	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_50	33653	33853	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_51	33857	34684	1	S	nuclease activity	G3DSA:3.90.320.10|-;PF12705|PD-(D/E)XK nuclease superfamily				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_52	35681	35845	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_53	35910	36230	1	M	Transglycosylase SLT domain	SSF53955|Lysozyme-like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_54	36355	37071	1	S	nucleic acid binding	G3DSA:3.30.420.10|-;PF13482|RNase_H superfamily;SSF53098|Ribonuclease H-like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_55	37073	37621	1	H	dephospho-CoA kinase activity	G3DSA:3.40.50.300|-;PF21448|Deoxynucleotide monophosphate kinase;SSF52540|P-loop containing nucleoside triphosphate hydrolases				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_56	37645	38106	1	V	Bacteriophage Lambda NinG protein	PF05766|Bacteriophage Lambda NinG protein				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_57	38096	39064	1	M	D-alanyl-D-alanine carboxypeptidase	G3DSA:3.30.1380.10|-;PF13539|D-alanyl-D-alanine carboxypeptidase;SSF55166|Hedgehog/DD-peptidase;cd14845|L-Ala-D-Glu_peptidase_like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_58	39064	40599	1	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	G3DSA:1.10.560.10|-;G3DSA:3.30.260.10|-;G3DSA:3.50.7.10|GroEL;PF00118|TCP-1/cpn60 chaperonin family;PR00298|60kDa chaperonin signature;PTHR45633|60 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL;SSF48592|GroEL equatorial domain-like;SSF52029|GroEL apical domain-like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_59	40565	40807	1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_60	40761	41081	1	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	G3DSA:2.30.33.40|GroES chaperonin;PF00166|Chaperonin 10 Kd subunit;PR00297|10kDa chaperonin signature;SM00883|Cpn10_2;SSF50129|GroES-like;cd00320|cpn10				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_61	41098	41304	1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_62	41559	44927	-1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_63	44937	46049	-1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_64	46052	47233	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_65	47248	49626	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_66	49631	50296	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_67	50353	50661	-1			PF16083|LydA holin phage, holin superfamily III				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_68	50669	53314	-1	-	-					
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_69	53330	56182	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_70	56184	56384	-1			Coil|Coil				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_71	56386	56778	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_72	56775	57506	-1			Coil|Coil				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_73	57518	57910	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_74	57912	58142	-1			Coil|Coil				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_75	58212	59198	-1	OU	Belongs to the peptidase S14 family	PF10124|Mu-like prophage major head subunit gpT				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_76	59223	59729	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_77	59750	60382	-1			Coil|Coil				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_78	60632	60739	-1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_79	60708	60977	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_80	61021	62973	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_81	62990	63397	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_82	63354	65030	-1	S	phage Terminase large subunit	G3DSA:3.30.420.280|-;G3DSA:3.40.50.300|-				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_83	65017	65505	-1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_84	66026	66358	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_85	66361	66555	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_86	67885	68013	1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_87	68018	68317	1			Coil|Coil				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_88	68569	68757	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_89	68741	69139	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_90	69142	69690	1			mobidb-lite|consensus disorder prediction				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_91	69690	70253	1	S	LemA family	G3DSA:1.20.1440.20|-;PF04011|LemA family;PTHR34478|PROTEIN LEMA;SSF140478|LemA-like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_92	70333	70731	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_93	70737	71000	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_94	71011	71439	1	S	Ion channel	G3DSA:1.10.287.70|-;PF07885|Ion channel;PTHR11537|VOLTAGE-GATED POTASSIUM CHANNEL;SSF81324|Voltage-gated potassium channels				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_95	71432	71773	1	F	PFAM AIG2 family protein	G3DSA:3.10.490.10|-;PF06094|Gamma-glutamyl cyclotransferase, AIG2-like;SSF110857|Gamma-glutamyl cyclotransferase-like;cd06661|GGCT_like				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_96	72028	73101	1	S	Phage phiEco32-like COOH.NH2 ligase-type 2	PF14395|Phage phiEco32-like COOH.NH2 ligase-type 2				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_97	73120	74130	1	S	Putative amidoligase enzyme	PF12224|Putative amidoligase enzyme				
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_98	74141	74290	1							
SRR23967294_RNODE_40_length_50338_cov_12.12250	SRR23967294_RNODE_40_length_50338_cov_12.12250_99	74294	75523	1	M	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source	Coil|Coil;G3DSA:3.60.20.10|Glutamine Phosphoribosylpyrophosphate, subunit 1, domain 1;PS51278|Glutamine amidotransferase type 2 domain profile.;SSF56235|N-terminal nucleophile aminohydrolases (Ntn hydrolases);cd00352|Gn_AT_II				
SRR23967294_RNODE_412_length_1081_cov_3.05221	SRR23967294_RNODE_412_length_1081_cov_3.05221_3	905	1183	-1							
SRR23967294_RNODE_412_length_1081_cov_3.05221	SRR23967294_RNODE_412_length_1081_cov_3.05221_4	1183	1473	-1							
SRR23967294_RNODE_412_length_1081_cov_3.05221	SRR23967294_RNODE_412_length_1081_cov_3.05221_5	1525	1905	-1	S	Cytidine and deoxycytidylate deaminase zinc-binding region	G3DSA:3.40.140.10|Cytidine Deaminase, domain 2;PF00383|Cytidine and deoxycytidylate deaminase zinc-binding region;SSF53927|Cytidine deaminase-like				
SRR23967294_RNODE_415_length_4503_cov_14.18535	SRR23967294_RNODE_415_length_4503_cov_14.18535_3	3194	3568	-1			G3DSA:1.20.1560.10|ABC transporter type 1, transmembrane domain;SSF90123|ABC transporter transmembrane region				
SRR23967294_RNODE_415_length_4503_cov_14.18535	SRR23967294_RNODE_415_length_4503_cov_14.18535_4	3686	4681	-1	Q	ABC transporter family protein	G3DSA:1.20.1560.10|ABC transporter type 1, transmembrane domain;G3DSA:3.40.50.300:FF:000218|Multidrug ABC transporter ATP-binding protein;G3DSA:3.40.50.300|-;PF00005|ABC transporter;PS00211|ABC transporters family signature.;PS50893|ATP-binding cassette, ABC transporter-type domain profile.;PTHR24222|ABC TRANSPORTER B FAMILY;SM00382|AAA_5;SSF52540|P-loop containing nucleoside triphosphate hydrolases	Aminocoumarins;Aminoglycosides;Arsenic_resistance;Bacitracin;Biocide_and_metal_resistance;Drug_and_biocide_resistance;Fluoroquinolones;Iron_resistance;Multi-biocide_resistance;Multi-drug_resistance;Multi-metal_resistance;Nickel_resistance;Tetracyclines;Zinc_resistance	Aminocoumarin_efflux_pump;Aminoglycoside_efflux_pumps;Arsenic_resistance_protein;Bacitracin_ABC_transporter;Biocide_and_metal_ABC_efflux_pumps;Drug_and_biocide_ABC_efflux_pumps;Fluoroquinolone_ABC_efflux_pump;Iron_resistance_protein;MDR_mutation;Multi-biocide_ABC_efflux_pump;Multi-drug_ABC_efflux_pumps;Multi-metal_ABC_efflux_pumps;Multi-metal_resistance_protein;Nickel_ABC_efflux_pumps;Tetracycline_resistance_ABC_efflux_pumps;Tetracycline_resistance_MFS_efflux_pumps;Zinc_resistance_protein	BCRA;EFRA;EFRB;FBPC;FECE;FETA;LMRD;MACB;MDR;MODC;MSBA;NIKE;NOVA;PATA;PATB;PGPA;PSTB;RANA;SITABCD;SITB;SMDA;SMDB;SMRA;TETA;TETA46;TETA60;TETB46;TETB60;VCAM;WTPC;YBTP;YBTQ;YFEB;ZNUC	41.518
SRR23967294_RNODE_415_length_4503_cov_14.18535	SRR23967294_RNODE_415_length_4503_cov_14.18535_5	6197	6643	-1	Q	ABC transporter family protein	G3DSA:3.40.50.300|-;PF00005|ABC transporter;PS00211|ABC transporters family signature.;PTHR24221|ATP-BINDING CASSETTE SUB-FAMILY B;SSF52540|P-loop containing nucleoside triphosphate hydrolases;mobidb-lite|consensus disorder prediction	Aminocoumarins;Aminoglycosides;Arsenic_resistance;Bacitracin;Biocide_and_metal_resistance;Drug_and_biocide_resistance;Fluoroquinolones;Iron_resistance;MLS;Multi-biocide_resistance;Multi-drug_resistance;Multi-metal_resistance;Nickel_resistance;Tetracyclines;Tungsten_Resistance;Zinc_resistance	Aminocoumarin_efflux_pump;Aminoglycoside_efflux_pumps;Arsenic_resistance_protein;Bacitracin_ABC_transporter;Biocide_and_metal_ABC_efflux_pumps;Drug_and_biocide_ABC_efflux_pumps;Fluoroquinolone_ABC_efflux_pump;Iron_resistance_protein;MDR_mutation;MLS_resistance_ABC_efflux_pumps;Multi-biocide_ABC_efflux_pump;Multi-drug_ABC_efflux_pumps;Multi-metal_ABC_efflux_pumps;Multi-metal_resistance_protein;Nickel_ABC_efflux_pumps;Tetracycline_resistance_ABC_efflux_pumps;Tetracycline_resistance_MFS_efflux_pumps;Tungsten_ABC_efflux_pumps;Zinc_resistance_protein	BCRA;DRRA;EFRA;EFRB;FBPC;FECE;FETA;LMRD;MACB;MDR;MODC;MSBA;NIKE;NOVA;OLEC;OPTRA;OTRC;PATA;PATB;PGPA;POXT;PSTB;RANA;SITABCD;SITB;SMDA;SMDB;SMRA;TAEA;TET58;TETA;TETA46;TETA60;TETB46;TETB60;TROB;TUPC;VCAM;WTPC;YBTP;YBTQ;ZNUC	51.754
SRR23967294_RNODE_415_length_4503_cov_14.18535	SRR23967294_RNODE_415_length_4503_cov_14.18535_6	6710	7279	-1	Q	ABC transporter family protein	G3DSA:1.20.1560.10|ABC transporter type 1, transmembrane domain;G3DSA:3.40.50.300|-;PF00005|ABC transporter;PS50929|ABC transporter integral membrane type-1 fused domain profile.;PTHR24221|ATP-BINDING CASSETTE SUB-FAMILY B;SSF52540|P-loop containing nucleoside triphosphate hydrolases;SSF90123|ABC transporter transmembrane region	Aminocoumarins;Arsenic_resistance;Biocide_and_metal_resistance;Drug_and_biocide_resistance;Fluoroquinolones;Iron_resistance;MLS;Multi-biocide_resistance;Multi-drug_resistance;Multi-metal_resistance;Nickel_resistance;Tetracyclines	Aminocoumarin_efflux_pump;Arsenic_resistance_protein;Biocide_and_metal_ABC_efflux_pumps;Drug_and_biocide_ABC_efflux_pumps;Fluoroquinolone_ABC_efflux_pump;Iron_resistance_protein;MDR_mutation;MLS_resistance_ABC_efflux_pumps;Multi-biocide_ABC_efflux_pump;Multi-drug_ABC_efflux_pumps;Multi-metal_ABC_efflux_pumps;Multi-metal_resistance_protein;Nickel_ABC_efflux_pumps;Tetracycline_resistance_ABC_efflux_pumps	CARA;EFRA;EFRB;FBPC;FECE;FETA;LMRC;LMRD;LSA;LSAB;LSAC;MDR;MSBA;NIKE;NOVA;PATA;PGPA;PSTB;SALA;SALC;SITABCD;SITB;SMDB;SMRA;TETB46;TETB60;TLRCM;VCAM;YBTP;YFEB;YOGI	46.067
SRR23967294_RNODE_416_length_1401_cov_5.28057	SRR23967294_RNODE_416_length_1401_cov_5.28057_4	729	959	-1							
SRR23967294_RNODE_416_length_1401_cov_5.28057	SRR23967294_RNODE_416_length_1401_cov_5.28057_5	1113	1334	-1			Coil|Coil				
SRR23967294_RNODE_416_length_1401_cov_5.28057	SRR23967294_RNODE_416_length_1401_cov_5.28057_6	1440	1715	-1							
SRR23967294_RNODE_416_length_1401_cov_5.28057	SRR23967294_RNODE_416_length_1401_cov_5.28057_7	1723	1968	1							
SRR23967294_RNODE_416_length_1401_cov_5.28057	SRR23967294_RNODE_416_length_1401_cov_5.28057_8	1970	2146	1							
SRR23967294_RNODE_418_length_2184_cov_28.05557	SRR23967294_RNODE_418_length_2184_cov_28.05557_4	1533	1727	-1							
SRR23967294_RNODE_418_length_2184_cov_28.05557	SRR23967294_RNODE_418_length_2184_cov_28.05557_5	2003	2545	-1							
SRR23967294_RNODE_418_length_2184_cov_28.05557	SRR23967294_RNODE_418_length_2184_cov_28.05557_6	2678	3013	1	U	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family	G3DSA:1.20.120.1240|Dynamin, middle domain;PF02212|Dynamin GTPase effector domain;PS51388|GED domain profile.;PTHR11566|DYNAMIN;SM00302|GED_2				
SRR23967294_RNODE_418_length_2184_cov_28.05557	SRR23967294_RNODE_418_length_2184_cov_28.05557_7	3085	3411	1							
SRR23967294_RNODE_419_length_2594_cov_5.06402	SRR23967294_RNODE_419_length_2594_cov_5.06402_2	1304	1849	-1							
SRR23967294_RNODE_419_length_2594_cov_5.06402	SRR23967294_RNODE_419_length_2594_cov_5.06402_3	1867	2238	-1			PS51257|Prokaryotic membrane lipoprotein lipid attachment site profile.				
SRR23967294_RNODE_419_length_2594_cov_5.06402	SRR23967294_RNODE_419_length_2594_cov_5.06402_4	2445	3839	-1	S	TIGRFAM Por secretion system C-terminal sorting domain	PF18962|Secretion system C-terminal sorting domain;PTHR42754|ENDOGLUCANASE;SSF50998|Quinoprotein alcohol dehydrogenase-like;TIGR04183|JCVI: T9SS type A sorting domain				
SRR23967294_RNODE_420_length_2810_cov_20.29360	SRR23967294_RNODE_420_length_2810_cov_20.29360_3	1607	2803	1	M	Domain of unknown function (DUF1727)	G3DSA:3.40.1190.10|-;MF_02214|Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT [murT].;PF08245|Mur ligase middle domain;PF08353|MurT ligase C-terminal;PTHR23135|MUR LIGASE FAMILY MEMBER;SSF53623|MurD-like peptide ligases, catalytic domain				
SRR23967294_RNODE_420_length_2810_cov_20.29360	SRR23967294_RNODE_420_length_2810_cov_20.29360_4	2800	3261	1	H	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate	G3DSA:3.40.50.720|-;PF02882|Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain;PR00085|Tetrahydrofolate dehydrogenase/cyclohydrolase family signature;PTHR48099|C-1-TETRAHYDROFOLATE SYNTHASE, CYTOPLASMIC-RELATED;SSF51735|NAD(P)-binding Rossmann-fold domains	MLS	23S_rRNA_methyltransferases	ERM	74.074
SRR23967294_RNODE_420_length_2810_cov_20.29360	SRR23967294_RNODE_420_length_2810_cov_20.29360_5	3302	4279	1	C	Nitroreductase family	G3DSA:1.50.10.150|-;PF03595|Voltage-dependent anion channel;PTHR37955|TELLURITE RESISTANCE PROTEIN TEHA				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_40	28182	28463	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_41	28571	28858	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_42	28877	29056	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_43	29198	29314	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_44	29366	29608	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_45	29747	31042	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_46	31166	32473	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_47	32653	33096	-1			Coil|Coil				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_48	33210	33440	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_49	33644	33970	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_50	34213	34566	1			G3DSA:3.40.1440.10|-;PS50164|GIY-YIG domain profile.;SSF82771|GIY-YIG endonuclease				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_51	34645	34905	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_52	34898	35314	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_53	35307	35648	-1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_54	35770	36261	1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_55	36309	36704	-1			Coil|Coil				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_56	36817	37314	1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_57	37369	37878	-1	S	Uncharacterized protein family, UPF0114	MF_00143|UPF0114 protein YqhA [yqhA].;PF03350|Uncharacterized protein family, UPF0114;PS51257|Prokaryotic membrane lipoprotein lipid attachment site profile.;PTHR38596|UPF0114 PROTEIN YQHA;TIGR00645|JCVI: TIGR00645 family protein				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_58	38009	39622	-1	S	Domain of unknown function (DUF4942)	G3DSA:3.40.50.150|Vaccinia Virus protein VP39;PF13708|Domain of unknown function (DUF4942);PS00092|N-6 Adenine-specific DNA methylases signature.;SSF53335|S-adenosyl-L-methionine-dependent methyltransferases;cd02440|AdoMet_MTases				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_59	39721	40338	-1	S	Protein of unknown function DUF262	PF03235|Protein of unknown function DUF262;PTHR39639|CHROMOSOME 16, WHOLE GENOME SHOTGUN SEQUENCE				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_60	40494	40835	1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_61	40832	41461	1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_62	41508	42311	1							
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_63	42358	42690	1	S	Phage derived protein Gp49-like (DUF891)	PF05973|Phage derived protein Gp49-like (DUF891)				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_64	42680	43006	1	K	Helix-turn-helix domain	G3DSA:1.10.260.40|-;PF01381|Helix-turn-helix;PS50943|Cro/C1-type HTH domain profile.;SM00530|mbf_short4;SSF47413|lambda repressor-like DNA-binding domains;cd00093|HTH_XRE				
SRR23967294_RNODE_421_length_55440_cov_70.41412	SRR23967294_RNODE_421_length_55440_cov_70.41412_65	43161	43457	-1			PS51257|Prokaryotic membrane lipoprotein lipid attachment site profile.				
